Sample number,Waterbody name,Beach name,Beach access number,Latitude,Longitude,Collection date,Collection time,Microcystin LR-equivalent concentration (µg/L),Total cyanobacterial cell count (cells/mL),Microcystis mcyE (copies/mL),Anabaena mcyE (copies/mL),Planktothrix mcyE (copies/mL),Sample Type,Description of water,Description of Water - Additional Notes,Turbidity,Colour,Evidence of bloom,Water temperature (°C),Wind direction,24 hr rainfall,24 hr rainfall amount (mm),
M141973,Baptiste Lake,Baptiste Lake Public Beach,8830387,54.726988,-113.568914,24-Jun-14,3:30 PM,No data,"532,110",No data,No data,No data,Grab,Distinct green or blue-green colouration or streaks on the surface,"Moderate breeze, mostly sunny, waves, light-green water, misting",No data,Green,No data,20.2,NE,TRUE,No data,
M141680,Beaver Lake,Young's Beach,9621938,54.753226,-111.925127,29-Jul-14,11:30 AM,0.52,"1,793,582",9.28E+01,5.25E+02,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141971,Bonnie Lake,Bonnie Lake Campground Beach,9013424,54.146363,-111.881312,25-Jul-14,2:00 PM,0.07,0,3.80E+04,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141382,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,4-Jun-14,3:00 PM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141386,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,11-Jun-14,1:30 PM,<0.05,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141388,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,18-Jun-14,9:30 AM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141376,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,25-Jun-14,10:00 AM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141372,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,2-Jul-14,2:45 PM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141362,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,9-Jul-14,7:20 AM,0.06,0,<50,<50,<50,Composite,No data,Brown scum across entire surface,No data,No data,No data,No data,No data,No data,No data,
M141366,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,16-Jul-14,7:15 AM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141399,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,23-Jul-14,2:50 PM,0.06,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141396,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,30-Jul-14,1:30 PM,0.09,0,8.35E+01,<50,<50,Composite,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M141390,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,6-Aug-14,1:30 PM,0.09,"1,910",<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141345,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,13-Aug-14,1:00 PM,0.09,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141358,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,20-Aug-14,12:30 PM,0.07,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141341,Chestermere Lake,Camp Chestermere Beach,8805982,51.020865,-113.818185,27-Aug-14,12:30 PM,0.11,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141349,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,4-Jun-14,10:30 AM,0.40,0,1.41E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141338,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,11-Jun-14,8:45 AM,0.20,0,<50,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,No data,No data,No data,No data,No data,No data,No data,No data,
M141232,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,25-Jun-14,8:30 AM,0.18,0,2.44E+02,<50,<50,Composite,No data,High water level overtaken normal shore line - murky,No data,No data,No data,No data,No data,No data,No data,
M141220,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,2-Jul-14,11:45 AM,0.24,"2,801",1.76E+02,<50,<50,Composite,Bottom of lake is clearly visible at 30 cm depth,Water level still very high - overtaking shore,No data,No data,No data,No data,No data,No data,No data,
M141223,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,9-Jul-14,12:15 PM,1.35,"36,506",1.74E+03,<50,<50,Composite,Distinct green or blue-green colouration or streaks on the surface,Suspected blue-green algae,No data,No data,No data,No data,No data,No data,No data,
M141226,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,16-Jul-14,12:15 PM,15.84,"381,461",3.08E+06,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141218,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,23-Jul-14,11:45 AM,5.25,"117,844",5.75E+03,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141239,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,30-Jul-14,11:55 AM,1.51,"122,639",2.00E+03,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141235,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,6-Aug-14,1:00 PM,8.36,"41,915",3.53E+05,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141252,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,13-Aug-14,12:20 PM,6.47,"15,279",2.95E+04,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141245,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,20-Aug-14,11:45 AM,9.80,"272,830",1.20E+06,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141249,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,27-Aug-14,11:45 AM,8.29,"204,991",2.17E+04,<50,<50,Composite,Visible green or blue-green scums affect large parts of the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141577,Cold Lake,Moon Bay,No data,54.638056,-110.148389,25-Jul-14,10:35 AM,0.07,0,No data,No data,No data,Grab,Bottom of lake is clearly visible at 30 cm depth,Sample collected to investigate unknown orange substance,No data,No data,No data,No data,No data,No data,No data,
M141600,Crane (Moore) Lake,Crane Lake West M.D. Park,9011475,54.501141,-110.563529,25-Aug-14,12:35 PM,0.07,0,<50,<50,<50,Grab,Distinct green or blue-green colouration or streaks on the surface,No data,No data,No data,No data,No data,No data,No data,No data,
M141380,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,4-Jun-14,10:45 AM,0.27,"18,589",1.47E+03,<50,<50,Composite,No data,Grey sandy/silty water,No data,No data,No data,No data,No data,No data,No data,
M141384,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,11-Jun-14,10:40 AM,0.35,"8,913",1.31E+02,<50,<50,Composite,No data,Milky white water,No data,No data,No data,No data,No data,No data,No data,
M141378,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,18-Jun-14,11:30 AM,0.23,"18,029",5.10E+02,<50,<50,Composite,No data,White water (sandy),No data,No data,No data,No data,No data,No data,No data,
M141374,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,25-Jun-14,12:15 PM,2.77,"443,595",1.23E+03,<50,<50,Composite,No data,Sandy brown water at 30 cm,No data,No data,No data,No data,No data,No data,No data,
M141371,Eagle Lake,Eagle Lake RV Resort Beach/Eagle Lake Campground,8822566,50.986014,-113.291621,2-Jul-14,11:45 AM,0.43,"185,128",2.60E+02,<50,<50,Composite,No data,Murky green/beige water,No data,No data,No data,No data,No data,No data,No data,
