Sample_number,Waterbody_name,Beach_name,Beach_access_num,Latitude,Longitude,Collection_date,Collection_time,MC-LR_conc,Total_cyano_cell_count,Microcystis_mcyE,Anabaena_mcyE,Planktothrix_mcyE,Sample_type,Water_description_additional,Turbidity,Color,Water_temp,Wind_direction,Rainfall_24h_bool,Rainfall_24h_mm,EOB,Year,Month,Day
M141973,Baptiste Lake,Baptiste Lake Public Beach,8830387.0,54.726988,-113.568914,2014-06-24,15:30:00,,532110.0,,,,Grab,"Moderate breeze, mostly sunny, waves, light-green water, misting",,Green,20.2,NE,True,,streaks on the surface,2014,6,24
M141680,Beaver Lake,Young's Beach,9621938.0,54.753226,-111.925127,2014-07-29,11:30:00,0.52,1793582.0,92.75,525.0,0.0,Composite,,,,,,,,streaks on the surface,2014,7,29
M141971,Bonnie Lake,Bonnie Lake Campground Beach,9013424.0,54.146363,-111.881312,2014-07-25,14:00:00,0.07,0.0,38000.0,0.0,0.0,Composite,,,,,,,,streaks on the surface,2014,7,25
M141382,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-06-04,15:00:00,<0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,4
M141386,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-06-11,13:30:00,<0.05,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,11
M141388,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-06-18,09:30:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,18
M141376,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-06-25,10:00:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,25
M141372,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-07-02,14:45:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,2
M141362,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-07-09,07:20:00,0.06,0.0,0.0,0.0,0.0,Composite,Brown scum across entire surface,,,,,,,,2014,7,9
M141366,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-07-16,07:15:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,16
